,age,workclass,education,education-num,marital-status,occupation,relationship,race,native-country,income_over_50K,over40hrs,gender-F/1-M/0
33274,64,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,United-States,0,0,Female
13327,52,Self-emp-not-inc,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,United-States,1,1,Female
19533,46,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,1,0,Female
47522,60,Self-emp-not-inc,11th,7,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,1,Male
3885,42,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,United-States,0,1,Female
33900,32,Private,7th-8th,4,Divorced,Other-service,Unmarried,White,United-States,0,0,Female
30235,41,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Female
7277,52,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
25345,32,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Male
20183,22,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Male
45435,34,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,United-States,1,1,Female
21740,36,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,United-States,0,1,Male
11677,47,Private,Preschool,1,Never-married,Sales,Unmarried,Black,Haiti,0,0,Female
47654,50,Local-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,0,0,Male
34225,26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,United-States,0,1,Female
3783,44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,United-States,1,1,Male
48350,36,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Male
37209,52,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Canada,1,1,Male
14060,21,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,United-States,0,0,Male
40652,54,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,1,Male
13795,36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,England,1,1,Male
48100,42,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
38117,60,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Columbia,0,0,Male
37285,47,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,United-States,0,0,Female
40820,18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,United-States,0,0,Female
31710,36,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Female
8093,41,State-gov,Some-college,10,Divorced,Other-service,Own-child,White,United-States,0,0,Male
11389,50,Self-emp-not-inc,11th,7,Divorced,Craft-repair,Unmarried,White,United-States,0,0,Male
4215,52,Private,HS-grad,9,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,United-States,0,0,Female
26522,31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
2936,21,State-gov,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,United-States,0,0,Female
9622,61,Local-gov,HS-grad,9,Widowed,Tech-support,Not-in-family,White,United-States,0,0,Female
1442,37,Private,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,United-States,1,1,Female
36292,35,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,Other,Dominican-Republic,0,0,Male
35578,33,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,United-States,0,0,Female
26728,29,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,United-States,0,1,Female
40765,69,Self-emp-not-inc,9th,5,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,0,Male
5646,21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
28158,38,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
17331,61,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
25486,48,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,Black,United-States,1,1,Male
13924,23,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
29831,49,Private,HS-grad,9,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,South,0,0,Female
36519,21,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
6965,28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
1191,24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,United-States,0,0,Female
9353,57,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
14158,42,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
16623,36,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,White,United-States,1,0,Male
7187,47,Private,HS-grad,9,Married-civ-spouse,Tech-support,Spouse,White,United-States,1,1,Male
19042,34,Private,11th,7,Divorced,Prof-specialty,Own-child,White,United-States,0,1,Male
24594,20,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,United-States,0,1,Male
13858,35,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,United-States,0,1,Female
11777,43,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
28200,44,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
591,31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,1,0,Male
33003,24,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,White,United-States,0,0,Female
27963,56,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Female
40130,37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
33706,20,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,United-States,0,0,Female
3293,47,Private,Doctorate,16,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
45542,42,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,Black,United-States,1,0,Male
12523,21,Private,10th,6,Never-married,Machine-op-inspct,Own-child,White,United-States,0,0,Male
43374,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,United-States,0,0,Male
24531,41,Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,United-States,0,0,Male
15984,25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
2374,33,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,United-States,0,0,Female
43411,22,Private,HS-grad,9,Never-married,Sales,Unmarried,White,United-States,0,0,Female
146,44,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,United-States,0,0,Female
1602,63,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
37791,49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
16997,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
40107,28,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
17950,46,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
36015,24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
1214,53,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
8537,56,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Spouse,White,Canada,0,0,Male
48531,43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
35357,62,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
28509,40,Private,Some-college,10,Divorced,Sales,Not-in-family,White,United-States,0,0,Male
42557,27,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Male
48055,58,Private,HS-grad,9,Separated,Other-service,Unmarried,White,Dominican-Republic,0,0,Female
5848,38,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,United-States,0,0,Female
22423,59,Local-gov,9th,5,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
9527,40,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,United-States,0,0,Male
20381,34,Private,Bachelors,13,Never-married,Craft-repair,Unmarried,White,United-States,0,0,Male
24597,64,Local-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,0,0,Male
12209,66,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
27101,39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Female
42773,26,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,United-States,1,0,Female
32200,28,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,United-States,0,0,Female
6785,28,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Female
35906,17,Private,11th,7,Never-married,Craft-repair,Own-child,White,United-States,0,0,Male
48186,18,Private,12th,8,Never-married,Other-service,Own-child,White,United-States,0,0,Male
8250,18,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Black,United-States,0,0,Female
20842,32,Local-gov,7th-8th,4,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
21994,38,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,United-States,1,1,Male
42991,50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
14243,23,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
32889,39,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
39669,62,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Female
243,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,0,Male
40310,43,Self-emp-not-inc,11th,7,Married-civ-spouse,Handlers-cleaners,Spouse,White,United-States,0,1,Male
47198,41,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
20989,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,United-States,0,0,Male
39223,41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,0,Male
47483,27,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Poland,0,0,Male
16283,38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
38047,37,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,United-States,0,0,Female
37074,51,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,1,Male
11056,32,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
23142,48,Local-gov,Assoc-acdm,12,Separated,Adm-clerical,Not-in-family,Black,United-States,0,0,Female
45477,19,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,United-States,0,0,Female
23187,50,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,White,United-States,1,0,Male
36588,47,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Sales,Spouse,White,United-States,1,0,Male
13045,26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
23299,38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
10857,35,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,United-States,0,1,Male
37358,41,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
8246,72,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
43614,37,Private,11th,7,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
39998,41,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Male
21357,32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,United-States,0,0,Female
17450,40,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,United-States,0,0,Male
28038,61,State-gov,10th,6,Never-married,Other-service,Not-in-family,Black,United-States,0,0,Female
41566,29,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,Black,United-States,0,0,Male
32377,17,Private,10th,6,Never-married,Sales,Own-child,White,United-States,0,0,Female
10804,38,Private,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,Black,United-States,1,1,Male
32650,33,Self-emp-not-inc,11th,7,Divorced,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
11175,18,Private,11th,7,Never-married,Other-service,Own-child,White,United-States,0,0,Male
24733,72,Private,HS-grad,9,Widowed,Priv-house-serv,Unmarried,White,Cuba,0,0,Female
41812,26,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Female
15549,26,Self-emp-not-inc,Assoc-voc,11,Divorced,Other-service,Unmarried,White,United-States,0,1,Female
2499,29,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
44110,36,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,United-States,0,0,Female
23153,52,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
42624,41,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
39312,32,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Female
12623,43,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
40812,46,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,Peru,0,1,Female
45723,21,Private,1st-4th,2,Married-civ-spouse,Other-service,Other-relative,White,England,0,0,Male
10510,32,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
19441,43,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,United-States,0,0,Male
33961,23,Private,HS-grad,9,Never-married,Other-service,Own-child,White,United-States,0,0,Male
45933,56,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,White,United-States,0,0,Female
33477,57,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,United-States,1,1,Male
40030,31,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,1,Female
39726,22,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,United-States,0,0,Male
7787,33,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,United-States,0,1,Female
48559,55,Private,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Italy,0,0,Female
34858,42,Private,Assoc-acdm,12,Never-married,Prof-specialty,Other-relative,White,United-States,0,0,Female
14629,44,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,United-States,0,0,Male
27192,47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
9414,30,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,United-States,0,0,Male
35049,34,Local-gov,Some-college,10,Never-married,Protective-serv,Own-child,White,United-States,0,0,Male
30815,21,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,United-States,0,0,Female
43299,65,Private,HS-grad,9,Widowed,Prof-specialty,Not-in-family,Black,United-States,0,0,Female
30307,39,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,United-States,0,0,Male
39371,46,Federal-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,United-States,0,0,Female
3013,53,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,United-States,0,0,Male
45315,29,Private,Some-college,10,Never-married,Prof-specialty,Other-relative,White,United-States,0,0,Female
29181,33,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,1,Male
39975,36,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
13579,46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
24698,36,Private,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,United-States,0,0,Female
